"","symbol","Previous Close","Open","Bid","Ask","Day's Range","52 Week Range","Volume","Avg. Volume","Net Assets","NAV","PE Ratio (TTM)","Yield","YTD Return","Beta (3y)","Expense Ratio (net)","Inception Date"
"2","AGG","105.81","105.90","0.00 x 0","0.00 x 0","105.76 - 105.90","105.52 - 110.66","2,034,081","3,974,501","55.83B","106.12","N/A","2.45%","-2.39%","1.00","0.06%","2003-09-22"
"3","DBC","17.98","17.95","0.00 x 0","0.00 x 0","17.87 - 17.95","13.69 - 17.99","1,407,937","2,571,515","2.96B","17.59","N/A","0.00%","5.72%","0.99","0.86%","2006-02-03"
"4","DFE","71.75","72.01","0.00 x 0","0.00 x 0","71.83 - 72.11","63.66 - 75.61","30,195","64,142","1.26B","71.16","N/A","2.64%","0.47%","0.93","0.58%","2006-06-16"
"5","DIA","247.46","247.70","0.00 x 0","0.00 x 0","247.38 - 248.94","205.86 - 265.93","3,293,455","5,423,055","20.92B","241.48","N/A","2.03%","-1.83%","1.05","0.15%","1998-01-13"
"6","DXJ","57.35","57.60","0.00 x 0","0.00 x 0","57.59 - 57.74","50.34 - 62.78","1,122,411","2,616,434","6.67B","57.41","N/A","2.38%","-3.44%","0.95","0.48%","2006-06-16"
"7","EEM","47.48","47.68","0.00 x 0","0.00 x 0","46.99 - 47.73","39.82 - 52.08","68,838,643","68,125,541","42.17B","47.42","N/A","1.87%","-0.42%","1.15","0.69%","2003-04-07"
"8","EFA","71.58","71.80","0.00 x 0","0.00 x 0","71.21 - 71.91","64.56 - 75.27","19,083,745","23,458,477","78.4B","71.02","N/A","2.54%","0.61%","0.97","0.32%","2001-08-14"
"9","EWG","33.20","33.16","0.00 x 0","0.00 x 0","33.10 - 33.22","30.08 - 35.87","1,176,428","3,985,968","4.13B","32.61","N/A","2.08%","-1.70%","1.23","0.49%","1996-03-12"
"10","EWH","26.08","26.33","0.00 x 0","0.00 x 0","26.28 - 26.40","23.03 - 26.93","6,287,059","4,865,471","2.28B","25.77","13.28","4.29%","0.63%","1.12","0.49%","1996-03-12"
"11","EWI","33.41","33.52","0.00 x 0","0.00 x 0","33.47 - 33.57","27.27 - 34.45","705,576","924,344","760.83M","33.70","N/A","1.98%","10.28%","1.16","0.49%","1996-03-12"
"12","EWT","37.07","37.32","0.00 x 0","0.00 x 0","37.21 - 37.37","33.90 - 39.35","4,579,229","4,975,639","3.89B","36.63","12.49","2.78%","0.25%","0.77","0.62%","2000-06-20"
"13","EWU","36.72","36.88","0.00 x 0","0.00 x 0","36.76 - 36.92","32.82 - 38.05","1,913,108","2,249,212","2B","36.33","N/A","3.86%","1.20%","0.90","0.49%","1996-03-12"
"14","EWW","48.56","48.67","0.00 x 0","0.00 x 0","47.77 - 49.03","47.06 - 57.82","3,248,365","3,803,766","1.18B","51.41","N/A","2.12%","4.69%","0.89","0.49%","1996-03-12"
"15","EWY","75.00","75.06","0.00 x 0","0.00 x 0","74.74 - 75.25","64.87 - 79.07","2,086,260","3,053,834","4.39B","76.43","N/A","2.85%","0.89%","1.15","0.62%","2000-05-09"
"16","EWZ","41.86","41.70","0.00 x 0","0.00 x 0","40.84 - 41.94","31.78 - 47.85","23,671,510","15,365,685","8.57B","42.59","N/A","1.63%","4.57%","1.70","0.62%","2000-07-10"
"17","EZU","44.81","44.85","0.00 x 0","0.00 x 0","44.81 - 44.93","40.03 - 47.13","6,247,370","8,181,957","14.01B","44.62","N/A","1.86%","2.19%","1.09","0.49%","2000-07-25"
"18","FEZ","41.87","41.85","0.00 x 0","0.00 x 0","41.81 - 41.94","38.18 - 44.23","1,030,811","3,435,950","4.46B","41.76","N/A","2.39%","2.38%","1.12","0.29%","2002-10-15"
"19","FXI","48.02","48.24","0.00 x 0","0.00 x 0","47.57 - 48.28","38.66 - 54.00","24,765,254","24,825,246","4.44B","46.52","N/A","2.30%","2.32%","1.50","0.74%","2004-10-05"
"20","GDX","22.95","23.00","0.00 x 0","0.00 x 0","22.83 - 23.06","20.84 - 25.58","25,367,508","38,258,569","7.75B","22.27","N/A","0.79%","-4.13%","0.53","0.53%","2006-05-16"
"21","GLD","125.18","125.57","0.00 x 0","0.00 x 0","124.75 - 125.59","114.80 - 129.51","4,299,164","6,794,149","36.77B","124.48","N/A","0.00%","0.76%","0.25","0.40%","2004-11-18"
"22","IAU","12.67","12.72","0.00 x 0","0.00 x 0","12.65 - 12.72","11.61 - 13.11","9,546,413","12,775,160","12.18B","12.60","N/A","0.00%","0.88%","0.25","0.25%","2005-01-21"
"23","IBB","103.73","103.73","106.70 x 100","107.23 x 900","103.73 - 106.92","94.20 - 119.30","4,807,500","2,696,109","8.53B","103.54","3.71","0.22%","-2.92%","1.44","0.47%","2001-02-05"
"24","ITB","38.76","38.61","0.00 x 0","0.00 x 0","38.61 - 39.27","32.02 - 46.56","1,237,132","2,775,874","1.56B","38.46","N/A","0.36%","-11.99%","0.97","0.44%","2006-05-01"
"25","IVV","273.90","274.04","0.00 x 0","0.00 x 0","272.07 - 275.04","236.91 - 288.69","2,639,041","4,474,973","142.64B","266.22","82.77","1.84%","-0.49%","1.00","0.05%","2000-05-15"
"26","IWD","122.41","122.64","0.00 x 0","0.00 x 0","122.30 - 122.97","112.39 - 131.56","723,672","1,684,250","35.92B","120.32","N/A","2.24%","-2.67%","0.96","0.20%","2000-05-22"
"27","IWM","159.53","159.55","0.00 x 0","0.00 x 0","158.75 - 160.17","134.12 - 160.63","14,413,632","22,262,130","42.09B","153.28","N/A","1.24%","0.80%","1.04","0.20%","2000-05-22"
"28","IYR","77.96","77.97","0.00 x 0","0.00 x 0","77.39 - 78.26","71.27 - 83.27","7,923,172","8,698,014","3.39B","75.66","6.62","3.82%","-5.85%","0.69","0.44%","2000-06-12"
"29","KBE","49.67","49.79","0.00 x 0","0.00 x 0","49.63 - 50.01","39.60 - 52.00","1,586,539","2,420,384","4.12B","47.99","N/A","1.44%","1.63%","0.91","0.35%","2005-11-08"
"30","KRE","63.74","63.84","0.00 x 0","0.00 x 0","63.62 - 64.11","49.31 - 65.33","4,049,647","6,015,863","4.89B","61.67","N/A","1.39%","5.07%","0.85","0.35%","2006-06-19"
"31","LQD","115.06","115.23","0.00 x 0","0.00 x 0","115.08 - 115.28","114.26 - 121.85","4,253,956","6,012,095","32.49B","115.37","N/A","3.30%","-4.42%","1.43","0.15%","2002-07-22"
"32","OIL","7.61","7.53","0.00 x 0","0.00 x 0","7.47 - 7.64","0.15 - 1,794.84","1,889,600","1,087,672","585.82M","7.32","N/A","0.00%","11.77%","2.59","0.75%","2006-08-15"
"33","SDS","38.32","38.31","0.00 x 0","0.00 x 0","38.01 - 38.45","35.66 - 54.00","3,869,410","6,713,711","877.74M","40.55","N/A","0.28%","-1.04%","-1.84","0.89%","2006-07-11"
"34","SH","29.36","29.35","0.00 x 0","0.00 x 0","29.24 - 29.41","28.14 - 34.55","2,459,045","5,058,853","1.42B","30.19","N/A","0.19%","0.19%","-0.95","0.89%","2006-06-19"
"35","SLV","15.74","15.83","0.00 x 0","0.00 x 0","15.68 - 15.85","14.44 - 17.14","6,681,221","8,257,749","5.19B","15.43","3.58","0.00%","-3.81%","0.52","0.50%","2006-04-21"
"36","SPY","272.02","272.16","0.00 x 0","0.00 x 0","270.22 - 273.15","235.43 - 286.58","59,871,511","100,575,611","254.67B","264.41","N/A","1.84%","-0.48%","1.00","0.09%","1993-01-22"
"37","USO","14.41","14.37","0.00 x 0","0.00 x 0","14.24 - 14.43","8.65 - 14.44","14,069,998","19,541,533","1.96B","13.84","N/A","0.00%","14.90%","1.90","0.31%","2006-04-10"
"38","VGK","60.14","60.26","0.00 x 0","0.00 x 0","59.77 - 60.37","54.59 - 63.60","1,753,415","4,076,479","25.57B","59.43","N/A","2.69%","0.90%","0.95","0.10%","2005-03-04"
"39","VNQ","78.55","78.59","0.00 x 0","0.00 x 0","78.12 - 78.87","72.05 - 86.14","2,694,455","6,209,939","56.08B","76.12","7.05","4.76%","-7.42%","0.65","0.12%","2004-09-23"
"40","VTI","140.29","140.41","0.00 x 0","0.00 x 0","140.05 - 140.87","120.85 - 146.87","1,199,363","2,555,696","679.31B","136.21","N/A","1.74%","-0.26%","1.00","0.04%","2001-05-24"
"41","VWO","46.27","46.37","0.00 x 0","0.00 x 0","46.00 - 46.45","39.62 - 50.99","11,430,977","12,594,234","92.06B","45.81","N/A","2.35%","-0.31%","1.07","0.14%","2005-03-04"
"42","XHB","39.53","39.51","0.00 x 0","0.00 x 0","39.51 - 39.96","37.00 - 47.20","1,641,254","2,757,144","929.48M","38.97","N/A","0.85%","-11.80%","1.03","0.35%","2006-01-31"
"43","XLB","58.91","58.95","0.00 x 0","0.00 x 0","58.81 - 59.37","51.35 - 64.17","3,552,474","6,432,128","4.84B","57.01","N/A","1.87%","-5.46%","1.23","0.14%","1998-12-16"
"44","XLE","76.62","76.79","0.00 x 0","0.00 x 0","76.56 - 77.25","61.80 - 78.39","12,010,656","15,380,328","18.53B","73.78","N/A","3.05%","2.87%","1.05","0.14%","1998-12-16"
"45","XLF","28.28","28.30","0.00 x 0","0.00 x 0","28.20 - 28.45","22.97 - 30.33","25,893,973","57,533,330","32.09B","27.45","N/A","1.56%","-1.29%","0.96","0.14%","1998-12-16"
"46","XLI","74.55","74.65","0.00 x 0","0.00 x 0","74.51 - 75.03","64.65 - 80.96","8,060,037","14,333,349","12.38B","72.23","335.02","1.87%","-4.18%","0.91","0.14%","1998-12-16"
"47","XLK","69.98","69.91","0.00 x 0","0.00 x 0","69.65 - 70.15","54.25 - 71.34","8,760,648","14,584,109","19.81B","65.45","23.40","1.36%","2.68%","1.00","0.14%","1998-12-16"
"48","XLP","49.54","49.63","0.00 x 0","0.00 x 0","49.39 - 49.88","48.76 - 58.95","9,902,737","14,732,934","7.56B","50.46","N/A","2.97%","-10.82%","0.53","0.14%","1998-12-16"
"49","XLU","50.31","50.36","0.00 x 0","0.00 x 0","49.76 - 50.51","47.37 - 57.23","6,478,906","16,374,865","7.18B","51.57","8.30","3.40%","-1.37%","0.20","0.14%","1998-12-16"
"50","XLV","81.81","81.88","0.00 x 0","0.00 x 0","81.73 - 83.19","74.45 - 91.79","10,434,026","8,437,512","15.28B","82.22","N/A","1.51%","-0.16%","0.96","0.14%","1998-12-16"
"51","XLY","104.67","104.68","0.00 x 0","0.00 x 0","104.54 - 105.02","87.89 - 109.34","4,424,146","5,846,734","13.05B","103.71","N/A","1.19%","5.39%","0.97","0.14%","1998-12-16"
"52","XME","36.75","36.88","0.00 x 0","0.00 x 0","36.87 - 37.29","27.86 - 39.62","1,910,658","2,830,452","979.06M","34.97","N/A","1.22%","-3.72%","1.38","0.35%","2006-06-19"
"53","XOP","41.58","41.59","0.00 x 0","0.00 x 0","41.13 - 41.81","28.96 - 42.07","16,663,664","17,194,276","2.72B","39.35","N/A","0.70%","6.12%","1.44","0.35%","2006-06-19"
